,X,Y,GPSDateTime,Speed,Angle
0,126.8377545,37.5588007,20211201091353.000,9.166,0.0499649245087425
1,126.83774860687215,37.55880124951996,20211201091353.062,9.008091965639212,0.0620922615476615
2,126.8377427137443,37.55880179903992,20211201091353.125,8.850183931278425,0.0742195985865805
3,126.83773682061648,37.55880234855988,20211201091353.191,8.692275896917636,0.0863469356254427
4,126.83773092748862,37.55880289807984,20211201091353.254,8.534367862556847,0.0984742726643617
5,126.8377250343608,37.5588034475998,20211201091353.316,8.37645982819606,0.1106016097032807
6,126.83771914123294,37.55880399711976,20211201091353.379,8.218551793835271,0.1227289467421997
7,126.8377132481051,37.55880454663972,20211201091353.441,8.060643759474482,0.1348562837811187
8,126.83770735497724,37.55880509615968,20211201091353.504,7.902735725113694,0.1469836208200376
9,126.83770146184942,37.558805645679634,20211201091353.570,7.744827690752906,0.1591109578588998
10,126.83769556872156,37.5588061951996,20211201091353.633,7.586919656392117,0.1712382948978188
11,126.83768967559374,37.558806744719554,20211201091353.695,7.42901162203133,0.1833656319367378
12,126.83768378246587,37.55880729423952,20211201091353.758,7.271103587670542,0.1954929689756568
13,126.83767788933804,37.55880784375948,20211201091353.820,7.113195553309753,0.2076203060145758
14,126.8376719962102,37.55880839327944,20211201091353.883,6.955287518948965,0.2197476430534948
15,126.83766610308236,37.5588089427994,20211201091353.949,6.797379484588177,0.2318749800923569
16,126.83766060469934,37.55880953476503,20211201091354.012,6.627682162708439,0.4471367284501184
17,126.83765706124304,37.558810336937846,20211201091354.074,6.399599797877716,1.668397466196495
18,126.83765351778676,37.55881113911067,20211201091354.137,6.1715174330469935,2.889658203942816
19,126.83764997433046,37.55881194128348,20211201091354.199,5.943435068216272,4.110918941689135
20,126.83764643087416,37.55881274345629,20211201091354.262,5.715352703385549,5.332179679435456
21,126.83764288741789,37.55881354562911,20211201091354.328,5.4872703385548265,6.553440417181832
22,126.8376393439616,37.55881434780192,20211201091354.391,5.259187973724104,7.774701154928152
23,126.8376358005053,37.558815149974734,20211201091354.453,5.031105608893381,8.995961892674472
24,126.837632257049,37.55881595214755,20211201091354.516,4.803023244062659,10.217222630420792
25,126.83762871359272,37.55881675432036,20211201091354.578,4.574940879231936,11.43848336816717
26,126.83762517013642,37.55881755649318,20211201091354.641,4.346858514401213,12.65974410591349
27,126.83762162668012,37.558818358666,20211201091354.707,4.118776149570491,13.88100484365981
28,126.83761808322384,37.55881916083881,20211201091354.770,3.890693784739768,15.10226558140613
29,126.83761453976756,37.55881996301162,20211201091354.832,3.662611419909045,16.323526319152506
30,126.83761099631126,37.55882076518444,20211201091354.895,3.434529055078323,17.544787056898826
31,126.83760745285495,37.55882156735725,20211201091354.957,3.2064466902476005,18.766047794645143
32,126.83760410454684,37.55882277746117,20211201091355.035,3.055,20.671202965862506
33,126.83760114188868,37.55882479371464,20211201091355.137,3.055,23.92786380322491
34,126.83759817923053,37.55882680996811,20211201091355.242,3.055,27.184524640587316
35,126.83759521657235,37.55882882622158,20211201091355.344,3.055,30.44118547794972
36,126.8375922539142,37.558830842475054,20211201091355.445,3.055,33.69784631531212
37,126.83758929125604,37.55883285872852,20211201091355.551,3.055,36.95450715267452
38,126.83758632859788,37.558834874982,20211201091355.652,3.055,40.21116799003698
39,126.83758336593972,37.558836891235465,20211201091355.754,3.055,43.46782882739939
40,126.83758040328156,37.55883890748894,20211201091355.859,3.055,46.72448966476179
41,126.8375774406234,37.55884092374241,20211201091355.961,3.055,49.981150502124194
42,126.83757542430442,37.55884423649754,20211201091356.102,3.250773322422257,18.513341356587603
43,126.83757400040916,37.55884836088379,20211201091356.266,3.569103927986905,325.3074493762275
44,126.8375725765139,37.558852485270044,20211201091356.430,3.8874345335515534,272.1015573958674
45,126.83757115261864,37.558856609656296,20211201091356.590,4.205765139116202,218.89566541550735
46,126.8375697287234,37.55886073404256,20211201091356.754,4.524095744680849,165.6897734351473
47,126.83756830482815,37.558864858428805,20211201091356.918,4.842426350245498,112.4838814547872
48,126.83756836486654,37.55886972122905,20211201091357.062,5.156734947237739,86.77572283884763
49,126.83756987945377,37.558875307821225,20211201091357.188,5.467101179391681,88.02078801575641
50,126.83757139404096,37.558880894413406,20211201091357.312,5.777467411545622,89.26585319266513
51,126.83757290862818,37.55888648100559,20211201091357.434,6.087833643699565,90.51091836957391
52,126.8375744232154,37.55889206759776,20211201091357.559,6.398199875853505,91.75598354648264
